program	processed_insns	max_states_per_insn	total_states	peak_states	mark_read
enforce_bprm_check_security	7	0	0	0	0
enforce_file_open	36	0	2	2	2
enforce_file_permission	23	0	1	1	1
enforce_file_truncate	13	0	1	1	1
enforce_mmap_file	106	2	9	9	3
enforce_file_mprotect	109	2	10	10	4
enforce_path_truncate	13	0	1	1	1
enforce_path_unlink	15	0	1	1	1
enforce_path_rename	29	0	2	2	1
enforce_socket_connect	15	0	0	0	0
enforce_socket_recvmsg	15	0	0	0	0
enforce_task_kill	57	1	5	5	2
enforce_ptrace_access_check	54	0	5	5	3
enforce_bpf_syscall	79	1	8	8	2
handle_fork	160714	20	2018	1549	21
handle_exec	66904	17	2787	1250	63
handle_exec_args	1772	4	65	63	8
exec_tp_update_simple	9283	11	373	222	18
exec_tp_update_prefix	29615	15	1276	713	27
exec_tp_rule_simple	2944	4	136	136	33
exec_tp_rule_complex	25657	17	615	398	42
handle_exit	24074	11	446	298	21
trace_openat	30	0	2	2	1
trace_openat_exit	2202	4	63	63	32
trace_open	30	0	2	2	1
trace_open_exit	2202	4	63	63	32
trace_openat2	40	0	2	2	1
trace_openat2_exit	2202	4	63	63	32
trace_creat	28	0	2	2	1
trace_creat_exit	2202	4	63	63	32
trace_truncate	28	0	2	2	1
trace_truncate_exit	2202	4	63	63	32
trace_pipe	26	0	2	2	1
trace_pipe_exit	3149	4	70	70	59
trace_pipe2	26	0	2	2	1
trace_pipe2_exit	3149	4	70	70	59
trace_socketpair	31	0	2	2	1
trace_socketpair_exit	3156	4	70	70	59
trace_bind	4910	4	72	70	8
trace_bind_exit	1469	4	36	36	31
trace_accept	26	0	2	2	1
trace_accept_exit	1547	4	43	43	35
trace_accept4	26	0	2	2	1
trace_accept4_exit	1547	4	43	43	35
trace_unlink	18580	16	415	214	41
trace_unlinkat	18580	16	415	214	41
trace_rename	4620	4	60	52	39
trace_rename_exit	82455	20	2860	1265	64
trace_rename_exit_flow	92486	23	5073	2413	77
trace_renameat	4620	4	60	52	39
trace_renameat_exit	82455	20	2860	1265	64
trace_renameat_exit_flow	92486	23	5073	2413	77
trace_renameat2	4623	4	60	52	39
trace_renameat2_exit	82455	20	2860	1265	64
trace_renameat2_exit_flow	92486	23	5073	2413	77
trace_connect	40036	17	1642	1205	81
trace_connect_exit	1524	4	41	41	31
trace_read	18657	16	421	220	47
trace_read_exit	85	0	8	8	3
trace_write	18685	16	424	223	47
trace_write_exit	85	0	8	8	3
trace_mmap	37	0	2	2	1
trace_mmap_exit	67934	17	3561	1604	68
trace_mprotect	30	0	2	2	1
trace_mprotect_exit	62635	17	3423	1484	69
trace_mremap	30	0	2	2	1
trace_mremap_exit	62650	19	3444	1507	69
trace_munmap	30	0	2	2	1
trace_munmap_exit	170	1	16	16	9
trace_sendto	18692	16	424	223	47
trace_sendto_exit	189	0	17	17	9
trace_recvfrom	18656	16	421	220	47
trace_recvfrom_exit	188	1	17	17	8
trace_sendmsg	18684	16	424	223	47
trace_sendmsg_exit	189	0	17	17	9
trace_recvmsg	18658	16	421	220	47
trace_recvmsg_exit	188	1	17	17	8
trace_close	37	0	3	3	2
trace_dup	26	0	2	2	1
trace_dup_exit	1598	4	47	47	37
trace_dup2	26	0	2	2	1
trace_dup2_exit	1598	4	47	47	37
trace_dup3	26	0	2	2	1
trace_dup3_exit	1598	4	47	47	37
trace_fcntl	34	0	3	3	1
trace_fcntl_exit	1598	4	47	47	37
trace_sendfile64	28	0	2	2	1
trace_sendfile64_exit	40385	20	2286	1270	69
trace_copy_file_range	28	0	2	2	1
trace_copy_file_range_exit	40385	20	2286	1270	69
trace_splice	28	0	2	2	1
trace_splice_exit	40385	20	2286	1270	69
cap_drain_tick	1063	1	84	84	10
