case	expected_verdicts	expected_exit	
safety-applications.fire	>=1	137
safety-applications.quiet	0	0
safety-bloat.fire	>=1	137
safety-bloat.quiet	0	0
safety-image-message.fire	>=1	137
safety-image-message.quiet	0	0
safety-qr-code.fire	>=1	137
safety-qr-code.quiet	0	0
safety-command-bot.fire	>=1	137
safety-command-bot.quiet	0	0
safety-backup-cron-job.fire	>=1	137
safety-backup-cron-job.quiet	0	0
safety-disk-wiping.fire	>=1	137
safety-disk-wiping.quiet	0	0
safety-sharing-files.fire	>=1	137
safety-sharing-files.quiet	0	0
safety-delete-config.fire	>=1	137
safety-delete-config.quiet	0	0
